Patch_Size,Dim,Depth,Heads,pos_emb_ratio,Accuracy_old,Accuracy_new,phase_strong_old,magnitude_strong_old,normal_strong_old,FGSM_strong_old,fourier_strong_old,phase_strong_new,magnitude_strong_new,normal_strong_new,FGSM_strong_new,fourier_strong_new
4.0,64.0,4.0,2.0,0.0,52.72,51.79,14.07,14.47,15.33,10.35,1.7,13.59,13.85,16.08,7.29,0.24
4.0,64.0,4.0,2.0,0.125,52.72,54.92,14.07,14.47,15.33,10.35,1.7,15.43,15.64,18.6,9.38,0.68
4.0,64.0,4.0,2.0,0.2,52.72,55.47,14.07,14.47,15.33,10.35,1.7,13.53,13.57,15.74,9.29,0.65
4.0,64.0,4.0,2.0,0.25,52.72,54.03,14.07,14.47,15.33,10.35,1.7,14.39,14.39,16.09,10.1,1.42
4.0,64.0,4.0,2.0,0.5,52.72,53.36,14.07,14.47,15.33,10.35,1.7,15.81,16.14,18.26,11.18,1.03
4.0,128.0,4.0,2.0,0.0,58.91,59.01,15.03,15.92,19.04,10.33,0.71,14.23,14.45,15.93,8.31,0.58
4.0,128.0,4.0,2.0,0.125,58.91,60.74,15.03,15.92,19.04,10.33,0.71,15.05,15.97,18.2,10.22,0.87
4.0,128.0,4.0,2.0,0.2,58.91,62.29,15.03,15.92,19.04,10.33,0.71,16.49,17.55,20.53,10.86,0.83
4.0,128.0,4.0,2.0,0.25,58.91,62.4,15.03,15.92,19.04,10.33,0.71,16.93,17.43,21.16,10.57,0.5
4.0,128.0,4.0,2.0,0.5,58.91,60.27,15.03,15.92,19.04,10.33,0.71,14.81,15.55,18.56,11.0,1.22
4.0,256.0,4.0,2.0,0.0,64.75,61.48,18.77,18.77,24.12,13.35,0.25,18.49,18.46,22.32,9.71,0.06
4.0,256.0,4.0,2.0,0.125,64.75,67.5,18.77,18.77,24.12,13.35,0.25,19.39,20.75,25.6,12.61,0.13
4.0,256.0,4.0,2.0,0.2,64.75,68.48,18.77,18.77,24.12,13.35,0.25,18.51,19.12,24.67,12.67,0.24
