Patch_Size,Dim,Depth,Heads,pos_emb_ratio,Accuracy_old,Accuracy_new,phase_strong_old,magnitude_strong_old,normal_strong_old,FGSM_strong_old,fourier_strong_old,phase_strong_new,magnitude_strong_new,normal_strong_new,FGSM_strong_new,fourier_strong_new
4.0,256.0,8.0,8.0,0.0,70.49,64.9,18.4,18.51,25.55,13.46,0.37,17.86,18.74,24.59,10.69,0.11
4.0,256.0,8.0,8.0,0.125,70.49,71.08,18.4,18.51,25.55,13.46,0.37,22.67,22.89,29.53,14.78,0.13
4.0,256.0,8.0,8.0,0.2,70.49,72.15,18.4,18.51,25.55,13.46,0.37,19.66,19.97,27.55,13.81,0.19
4.0,256.0,8.0,8.0,0.25,70.49,71.7,18.4,18.51,25.55,13.46,0.37,19.55,20.42,25.94,13.52,0.14
4.0,256.0,8.0,8.0,0.5,70.49,68.89,18.4,18.51,25.55,13.46,0.37,18.9,19.11,25.84,13.93,0.27
4.0,64.0,10.0,2.0,0.0,58.2,55.01,14.0,14.71,18.27,10.78,0.59,14.04,14.06,16.76,8.78,0.26
4.0,64.0,10.0,2.0,0.125,58.2,59.89,14.0,14.71,18.27,10.78,0.59,14.57,15.01,17.76,10.68,0.84
4.0,64.0,10.0,2.0,0.2,58.2,59.4,14.0,14.71,18.27,10.78,0.59,16.9,17.08,19.6,11.63,0.81
4.0,64.0,10.0,2.0,0.25,58.2,57.81,14.0,14.71,18.27,10.78,0.59,15.2,15.56,18.23,10.51,0.85
4.0,64.0,10.0,2.0,0.5,58.2,57.16,14.0,14.71,18.27,10.78,0.59,13.29,13.7,15.91,10.46,1.44
4.0,128.0,10.0,2.0,0.0,65.27,60.82,16.11,16.47,20.49,11.8,0.33,16.21,16.54,21.53,10.09,0.14
4.0,128.0,10.0,2.0,0.125,65.27,66.16,16.11,16.47,20.49,11.8,0.33,17.98,18.96,23.43,13.07,0.6
4.0,128.0,10.0,2.0,0.2,65.27,66.89,16.11,16.47,20.49,11.8,0.33,19.96,20.12,27.11,14.02,0.19
4.0,128.0,10.0,2.0,0.25,65.27,64.9,16.11,16.47,20.49,11.8,0.33,18.69,18.97,24.58,12.26,0.33
4.0,128.0,10.0,2.0,0.5,65.27,62.88,16.11,16.47,20.49,11.8,0.33,14.76,16.18,20.58,11.95,0.43
4.0,256.0,10.0,2.0,0.0,68.26,63.32,17.37,17.83,23.76,13.31,0.17,15.87,16.59,20.1,10.33,0.03
4.0,256.0,10.0,2.0,0.125,68.26,69.24,17.37,17.83,23.76,13.31,0.17,19.63,20.5,25.83,13.47,0.17
4.0,256.0,10.0,2.0,0.2,68.26,69.71,17.37,17.83,23.76,13.31,0.17,17.33,17.95,22.87,13.04,0.32
4.0,256.0,10.0,2.0,0.25,68.26,69.05,17.37,17.83,23.76,13.31,0.17,18.67,19.29,24.69,13.46,0.38
4.0,256.0,10.0,2.0,0.5,68.26,66.78,17.37,17.83,23.76,13.31,0.17,17.38,17.72,21.99,13.43,0.16
4.0,64.0,10.0,4.0,0.0,57.65,55.5,15.58,15.96,17.7,11.23,1.19,13.94,13.84,17.49,9.54,0.2
4.0,64.0,10.0,4.0,0.125,57.65,58.35,15.58,15.96,17.7,11.23,1.19,16.19,16.88,19.04,10.73,0.37
4.0,64.0,10.0,4.0,0.2,57.65,58.88,15.58,15.96,17.7,11.23,1.19,16.26,17.39,19.65,9.88,0.5
4.0,64.0,10.0,4.0,0.25,57.65,58.45,15.58,15.96,17.7,11.23,1.19,13.9,14.52,16.72,9.83,0.5
4.0,64.0,10.0,4.0,0.5,57.65,57.37,15.58,15.96,17.7,11.23,1.19,16.45,17.07,19.19,11.55,0.85
4.0,128.0,10.0,4.0,0.0,64.89,61.73,15.35,16.11,22.27,12.86,0.24,15.79,16.33,20.41,9.87,0.13
4.0,128.0,10.0,4.0,0.125,64.89,66.82,15.35,16.11,22.27,12.86,0.24,18.39,18.76,23.91,12.24,0.44
4.0,128.0,10.0,4.0,0.2,64.89,67.56,15.35,16.11,22.27,12.86,0.24,20.11,20.65,27.89,13.05,0.25
4.0,128.0,10.0,4.0,0.25,64.89,66.3,15.35,16.11,22.27,12.86,0.24,15.77,16.32,22.26,12.02,0.33
4.0,128.0,10.0,4.0,0.5,64.89,64.09,15.35,16.11,22.27,12.86,0.24,15.44,16.05,22.04,11.45,0.32
4.0,256.0,10.0,4.0,0.0,68.43,65.59,18.62,19.43,27.68,14.63,0.15,16.18,17.41,22.24,10.85,0.02
4.0,256.0,10.0,4.0,0.125,68.43,70.6,18.62,19.43,27.68,14.63,0.15,20.89,21.37,27.91,14.7,0.14
4.0,256.0,10.0,4.0,0.2,68.43,71.78,18.62,19.43,27.68,14.63,0.15,20.03,20.16,27.02,13.72,0.21
4.0,256.0,10.0,4.0,0.25,68.43,69.47,18.62,19.43,27.68,14.63,0.15,19.49,20.96,25.79,12.31,0.05
4.0,256.0,10.0,4.0,0.5,68.43,66.6,18.62,19.43,27.68,14.63,0.15,16.67,17.58,22.14,12.74,0.82
4.0,64.0,10.0,8.0,0.0,58.12,56.35,13.95,14.73,17.39,10.53,0.52,13.63,14.23,14.96,8.26,0.11
4.0,64.0,10.0,8.0,0.125,58.12,59.0,13.95,14.73,17.39,10.53,0.52,17.3,17.31,20.69,10.11,0.25
4.0,64.0,10.0,8.0,0.2,58.12,59.03,13.95,14.73,17.39,10.53,0.52,16.33,16.46,21.99,10.67,0.31
4.0,64.0,10.0,8.0,0.25,58.12,57.75,13.95,14.73,17.39,10.53,0.52,14.9,15.26,18.46,10.0,0.59
4.0,64.0,10.0,8.0,0.5,58.12,57.32,13.95,14.73,17.39,10.53,0.52,16.0,15.79,20.36,11.05,0.52
4.0,128.0,10.0,8.0,0.0,66.05,62.06,17.34,17.8,24.14,11.72,0.19,17.35,17.94,22.49,10.18,0.17
4.0,128.0,10.0,8.0,0.125,66.05,66.27,17.34,17.8,24.14,11.72,0.19,17.69,17.99,22.88,12.92,0.35
4.0,128.0,10.0,8.0,0.2,66.05,66.31,17.34,17.8,24.14,11.72,0.19,17.58,18.25,24.15,12.76,0.26
